cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20
2016-09,100.0,,,,,,,,,,,,,,,,,,,
2016-10,100.0,,,,,,0.31,,,0.31,,0.31,,0.31,,0.31,,0.31,0.62,0.62
2016-12,100.0,100.0,,,,,,,,,,,,,,,,,,
2017-01,100.0,0.39,0.26,0.13,0.39,0.13,0.52,0.13,0.13,,0.39,0.13,0.79,0.39,0.13,0.13,0.26,0.39,0.13,
2017-02,100.0,0.23,0.29,0.11,0.4,0.11,0.23,0.17,0.17,0.23,0.11,0.29,0.17,0.17,0.11,0.06,0.06,0.23,,
2017-03,100.0,0.49,0.38,0.38,0.34,0.15,0.15,0.3,0.34,0.08,0.38,0.15,0.23,0.11,0.15,0.23,0.08,0.15,,
2017-04,100.0,0.6,0.21,0.17,0.34,0.26,0.34,0.3,0.3,0.17,0.26,0.09,0.09,0.04,0.09,0.09,0.21,,,
2017-05,100.0,0.5,0.5,0.39,0.31,0.33,0.42,0.17,0.25,0.31,0.25,0.33,0.25,0.03,0.19,0.25,,,,
2017-06,100.0,0.48,0.35,0.41,0.25,0.38,0.38,0.22,0.13,0.22,0.32,0.35,0.16,0.13,0.19,,,,,
2017-07,100.0,0.51,0.36,0.26,0.28,0.21,0.31,0.1,0.18,0.26,0.23,0.31,0.13,0.26,,,,,,
2017-08,100.0,0.69,0.33,0.26,0.36,0.53,0.29,0.26,0.14,0.14,0.24,0.19,0.1,,,,,,,
2017-09,100.0,0.68,0.53,0.29,0.46,0.22,0.22,0.24,0.29,0.17,0.27,0.07,,,,,,,,
2017-10,100.0,0.69,0.25,0.09,0.22,0.2,0.22,0.36,0.27,0.2,0.2,,,,,,,,,
2017-11,100.0,0.55,0.38,0.18,0.19,0.18,0.11,0.19,0.14,0.05,,,,,,,,,,
2017-12,100.0,0.26,0.27,0.35,0.27,0.2,0.16,0.05,0.22,,,,,,,,,,,
2018-01,100.0,0.34,0.38,0.28,0.28,0.16,0.17,0.23,,,,,,,,,,,,
2018-02,100.0,0.39,0.39,0.29,0.26,0.22,0.2,,,,,,,,,,,,,
2018-03,100.0,0.46,0.32,0.29,0.13,0.13,,,,,,,,,,,,,,
2018-04,100.0,0.58,0.31,0.24,0.13,,,,,,,,,,,,,,,
2018-05,100.0,0.53,0.27,0.21,,,,,,,,,,,,,,,,
2018-06,100.0,0.42,0.29,,0.02,,,,,,,,,,,,,,,
2018-07,100.0,0.72,0.03,,,,,,,,,,,,,,,,,
2018-08,100.0,0.11,0.03,,,,,,,,,,,,,,,,,
2018-09,100.0,,,,,,,,,,,,,,,,,,,
2018-10,100.0,,,,,,,,,,,,,,,,,,,
